id,asin,category_path,title,rating,text,author,verified_purchase,helpful_votes,location,date
RQ4M9Z58V64X4,B0BS1PRC4L,unknown,"5.0 out of 5 stars
As expected would recommend",5.0 out of 5 stars,As expected would recommend,Puppy mom,True,0,the United States,"August 19, 2025"
R1XMK5CDQX009O,B0BS1PRC4L,unknown,"5.0 out of 5 stars
best headphones",5.0 out of 5 stars,great sound quality. amazing battery life. the pink color is cute but darker than pictured.,megaraaaa,True,0,the United States,"August 18, 2025"
R2NNZ1QAT4M7WY,B0BS1PRC4L,unknown,"5.0 out of 5 stars
Wireless headphones",5.0 out of 5 stars,Very well made and great value,L.Montrose,True,0,the United States,"August 18, 2025"
RJES914XILJUB,B00OUX6U6G,unknown,"4.0 out of 5 stars
Good quality for the price",4.0 out of 5 stars,Great so far,Amazon Customer,True,0,the United States,"August 20, 2025"
R2FGK0VFT6L31Q,B00OUX6U6G,unknown,"5.0 out of 5 stars
Love love",5.0 out of 5 stars,"I bought the Sony ZX Series wired headphones and for the price, they’re really good. The sound is clear with decent bass and highs, and they work well for everyday music and calls. They’re lightweight and foldable, which makes them easy to carry around. The ear pads are comfortable for short use, but after a long time they can feel a bit tight. Build quality is okay, not super strong, but for the cost they’re worth it. Overall, a great budget headphone if you just need something simple and reliable.",Shanmitha,True,0,the United States,"August 19, 2025"
RA9EQMIQ1HFS6,B00OUX6U6G,unknown,"1.0 out of 5 stars
Doesn't work.",1.0 out of 5 stars,"This is a piece of junk. Only one side brought sound in, and it was very very very quiet and soft so that I could barely hear it.  Junk.",Sue M.,True,0,the United States,"August 19, 2025"
R2NMOADJH5V5M2,B00OUX6U6G,unknown,"5.0 out of 5 stars
Fast shipping",5.0 out of 5 stars,Fast shipping and excellent quality. I would definitely order this again.,Timothy Wallace,True,0,the United States,"August 19, 2025"
R1C4AS4CXIILX,B00OUX6U6G,unknown,"5.0 out of 5 stars
Great headphones",5.0 out of 5 stars,Used it for years,Amazon Customer,True,0,the United States,"August 19, 2025"
R2M7TOPTXGBROU,B00OUX6U6G,unknown,"5.0 out of 5 stars
Nice headphone for my girl",5.0 out of 5 stars,Strong and portable Sony headphones are so useful for back to school kids. Perfect size with adjustable size and perfect volume control. Black is the universal color and function awesome.,Jona,True,1,the United States,"August 18, 2025"
R3L2WJQZWLN8GJ,B00OUX6U6G,unknown,"5.0 out of 5 stars
Audifonos Sony de cable.",5.0 out of 5 stars,"Los audífonos Sony de cable son una excelente opción para quienes buscan calidad de sonido a un precio accesible. La experiencia de audio es muy clara, con bajos potentes y agudos nítidos, ideales tanto para música como para llamadas. Al ser de cable, no hay interrupciones ni pérdida de conexión, lo que garantiza una reproducción continua y estable.Son ligeros, cómodos y se ajustan bien al oído, lo que permite usarlos durante varias horas sin molestias. Además, el diseño es resistente y duradero, con un cable firme que no se enreda fácilmente.son audífonos prácticos, confiables y con la calidad de sonido característica de Sony. Perfectos para el día a día, ya sea en el trabajo, la escuela o simplemente para disfrutar de tu música",yohanna,True,0,the United States,"August 17, 2025"
R67NINZPB9N1X,B00OUX6U6G,unknown,"5.0 out of 5 stars
Drowns out crying children",5.0 out of 5 stars,They're worth 17.00,Melanie&Bianca Monroe,True,0,the United States,"August 17, 2025"
R3H9KRC6AUFWCQ,B00OUX6U6G,unknown,"5.0 out of 5 stars
Sony quality as expected.",5.0 out of 5 stars,I bought this for our daughter and she loves the color and easy to use and connect to either her iPhone (with apple adapter) but more so on her school assigned laptop. She says it fits comfortably and it functions as it should.,M.A.A,True,0,the United States,"August 17, 2025"
R2OTG23MTQ2YIU,B00OUX6U6G,unknown,"5.0 out of 5 stars
The best bang for your buck.",5.0 out of 5 stars,"These are the best bang for your buck.  No bells or whistles, but far better than any headphones you pick up at discount stores.",Jamie L,True,0,the United States,"August 17, 2025"
R1A8JQ2PDWEA7M,B0DRDPJRL9,unknown,"5.0 out of 5 stars
great",5.0 out of 5 stars,Great!,Lavonne Junek-mcafoos,True,0,the United States,"August 20, 2025"
R2XB7CJAKHFN0X,B0DRDPJRL9,unknown,"5.0 out of 5 stars
Comfort in wearing",5.0 out of 5 stars,Gift for son in law and he says they're they best he has had in comfort.  Sound good also.,theSuperE,True,1,the United States,"August 13, 2025"
R3FKJXO8RAW7FL,B0DRDPJRL9,unknown,"5.0 out of 5 stars
Guilty,  noise cancelation",5.0 out of 5 stars,The quality of the phones are good,VICKIE,True,0,the United States,"August 9, 2025"
R3PMMCA9DFGSXG,B0DRDPJRL9,unknown,"5.0 out of 5 stars
Color. Comfort. Confidence.",5.0 out of 5 stars,"Love the Noise Cancellation option because It DOES WORK! It feels great on my head and the cushion for the speakers are well designed. Since I have sensory issues, the cushion provides extra comfort and no slip! The quality is perfect and beautiful! I can match these with my JLAB Earbuds and keep the same color. It’s easy to use and I can change the settings with the app! Worth it.",Briana,True,3,the United States,"August 8, 2025"
R1PN1K39JSEUXN,B0DRDPJRL9,unknown,"5.0 out of 5 stars
JBL headphones",5.0 out of 5 stars,Great purchase! I love how I can store them away easily. I love that there not tight on my head.,Amazon Customer,True,0,the United States,"August 8, 2025"
R2ONDUJRSGOX63,B0DRDPJRL9,unknown,"5.0 out of 5 stars
Great Purchase with",5.0 out of 5 stars,"This is a great set of headphones. I’ve had them for months with no problem whatsoever.  Not even with Bluetooth connectivity. The sound quality is good, they’re lightweight, and the hunter green color is a nice change too.",Stormsurge2,True,1,the United States,"August 5, 2025"
R1W7Z46Z8ZGPZR,B0DRDPJRL9,unknown,"5.0 out of 5 stars
The noise cancellation works well",5.0 out of 5 stars,Solid,Brayden W,True,0,the United States,"August 5, 2025"
RUZS3UEL8HG9A,B0DRDPJRL9,unknown,"5.0 out of 5 stars
They work",5.0 out of 5 stars,They do the job and are comfortable,Damian Flores,True,0,the United States,"August 4, 2025"
R1YT05CZMV41AK,B0DRDPJRL9,unknown,"5.0 out of 5 stars
Love them",5.0 out of 5 stars,Sound is amazing and battery lasts forever!,Amy S,True,0,the United States,"August 3, 2025"
RPQESVNMZBO5L,B0DRDPJRL9,unknown,"5.0 out of 5 stars
Good Value",5.0 out of 5 stars,Good seller.  And they work as they should.  Excellent price point for that young person in your life,Tony C,True,0,the United States,"July 31, 2025"
R1F1THFMBQH47R,B08WM3LMJF,unknown,"5.0 out of 5 stars
Hear the quality",5.0 out of 5 stars,Great noise cancellation  Very  comfortable  easy to connect,Joseph Molineaux,True,0,the United States,"August 20, 2025"
R16II5VZFPI1C,B08WM3LMJF,unknown,"5.0 out of 5 stars
Listening up",5.0 out of 5 stars,So far i'm loving them and i'm getting a lot of you son of them. I love being able to go for walks and listen to music and not bother other people.While i'm doing it and this helps me in that endeavor!,gail  kathleen powers,True,0,the United States,"August 20, 2025"
R14P0D94Y95VCL,B08WM3LMJF,unknown,"1.0 out of 5 stars
No longer charging",1.0 out of 5 stars,"The charging port stopped working after two years of use. Other than that, they were decent headphones for the price, but I won’t be buying them again. You’d think a product that relies on charging to function would have a more durable port. I only charged them sparingly—maybe two or three times a month. Most of the time, I didn’t even use them for workouts, since I prefer a Bluetooth speaker in my garage where I don’t have to worry about disturbing anyone. Needless to say, I guess two years is all they’re worth, but I won’t be repurchasing.",Adaeze,True,0,the United States,"August 20, 2025"
R2Q3FK8UBY9WEK,B08WM3LMJF,unknown,"5.0 out of 5 stars
Awesome product",5.0 out of 5 stars,"So far no problems with them, I love the loudness when answering calls and listening to music. Very comfortable as well. They never fall off👍🥰",Carmen,True,0,the United States,"August 20, 2025"
R1MVRVE171QZY8,B08WM3LMJF,unknown,"1.0 out of 5 stars
Proof that basic things are important",1.0 out of 5 stars,"This is the second pair we purchased.  We were very happy with them.  Sound is great.  However, a matter of a day  or so after my friend started using them and 2 weeks after they could be returned an ear pad popped off and cannot be put back in place.  HUGE disappointment.",Marilee Plourde,True,0,the United States,"August 20, 2025"
RK0COCOGIQORI,B08WM3LMJF,unknown,"5.0 out of 5 stars
i love it",5.0 out of 5 stars,i love it,Siling Estefany lau,True,0,the United States,"August 20, 2025"
R128DZ0FEZFQWC,B08WM3LMJF,unknown,"5.0 out of 5 stars
Bueno",5.0 out of 5 stars,Buena,Alexander,True,0,the United States,"August 20, 2025"
R353UTIU735S9M,B08WM3LMJF,unknown,"1.0 out of 5 stars
Stop working after short time",1.0 out of 5 stars,Two pairs of these we got as gifts. One stopped working after a few months. The other stopped after 2 weeks. Never purchasing again.,Niapod,False,0,the United States,"August 19, 2025"
R623M16OPA682,B08WM3LMJF,unknown,"5.0 out of 5 stars
Awesome sound and blocks out everything in the background",5.0 out of 5 stars,Great sound especially for the price. Isn't sturdy but tough enough to last a while before it bends a bit but overall I absolutely recommend this product 👌  love it. Own 2 pairs,Kindle Customer,True,0,the United States,"August 19, 2025"
R1CF4D9071KM3K,B08WM3LMJF,unknown,"1.0 out of 5 stars
Do not buy",1.0 out of 5 stars,Stopped charging after two months. Sound quality is average. Over all cheap would no buy,anthony,True,0,the United States,"August 19, 2025"
R2A10JKUQ01FY1,B006T9ZKAQ,unknown,"5.0 out of 5 stars
Would recommend",5.0 out of 5 stars,"Good value, size and color as expected, good quality, good ear support, compatibility is easy, color as expected.",Chey,True,0,the United States,"August 18, 2025"
RIB8WU210KS18,B006T9ZKAQ,unknown,"1.0 out of 5 stars
Cheap junk",1.0 out of 5 stars,Dollar store quality.,melissa oliver,True,0,the United States,"August 16, 2025"
R18DC2UJJQ0QRD,B006T9ZKAQ,unknown,"5.0 out of 5 stars
Overall good product",5.0 out of 5 stars,"Good for the price, very comfortable to wear. The quality is good. Overall sound clarity is great and the cord length is within a good range and you can’t go wrong with black.",Elisha,True,0,the United States,"August 15, 2025"
RLPZX7DU87YPV,B006T9ZKAQ,unknown,"5.0 out of 5 stars
Perfect",5.0 out of 5 stars,came in perfect condition!!! very light weight and glad i could find it here since school list needed it!,Ashley diaz,True,0,the United States,"August 11, 2025"
RICNEXXB96UD3,B006T9ZKAQ,unknown,"1.0 out of 5 stars
DO NOT BUY KOSS",1.0 out of 5 stars,"STOPPED WORKING IN 45 DAYS DO NOT BUY KOSS, GARBAGE PRODUCT, 2ND KOSS AND DOES NOT LAST AND AMAZON WILL NOT LET ME RETURN FOR EXCHANGE PAST 30 DAY WINDOW GARBAGE POLICY.",Tom Tsambourlianos,True,1,the United States,"August 10, 2025"
R2A2POWFLSR19B,B006T9ZKAQ,unknown,"5.0 out of 5 stars
Great sound",5.0 out of 5 stars,Great product but not loud enough for hearing imaired,Amazon Customer,True,0,the United States,"August 9, 2025"
RTKDKXNMLLD2P,B006T9ZKAQ,unknown,"5.0 out of 5 stars
Headphones",5.0 out of 5 stars,Perfect,Chinenye N.,True,0,the United States,"August 8, 2025"
R2RIPHRWFXFWY4,B006T9ZKAQ,unknown,"4.0 out of 5 stars
Very good for the price",4.0 out of 5 stars,"I use these as PC headphones. For podcasts and a little bit of music listening, these are plenty good enough. For the price, you can easily buy several pairs and have backups. The sound quality is okay, but there isn't much bass response which is expected at this price point. I have a large head and these fit snug, but you can bend the plastic headband a bit and that works to get comfortable. The cord length is short, but good for a phone or sitting close to a laptop. It is a bit difficult to see which headphone is Left and Right, but there is an L and R if you look really closely. Be aware, there is no mic or volume button controls.",Reid Family,True,1,the United States,"August 3, 2025"
R11ZB01EVCU6SO,B006T9ZKAQ,unknown,"5.0 out of 5 stars
Good value",5.0 out of 5 stars,Good value work fine,dale,True,0,the United States,"August 2, 2025"
R3T58WR9P7UYT6,B006T9ZKAQ,unknown,"1.0 out of 5 stars
poor sound quality",1.0 out of 5 stars,"you get what you pay for, sound quality is not good.",Sunny Reader,True,1,the United States,"July 31, 2025"
R3PQ98C3XHXRCY,B00IKYI6FO,unknown,"5.0 out of 5 stars
Great",5.0 out of 5 stars,"Was a gift, very satisfied!",James Hitchcock,True,0,the United States,"August 17, 2025"
R10Q88J67VG7O7,B00IKYI6FO,unknown,"4.0 out of 5 stars
Easy Plug and play good combo with a ROKU TV control.",4.0 out of 5 stars,"Just what I needed.  I was using earbuds so as not to disturb the wife at night watching TV or Black Sabbath.  My ears were getting annoyed.  These Sony headphones are perfect for plugging into my ROKU remote.  Sounds much better and comfortable.  I would have prefered some separate battery volume control.  My ROKU control would last much longer if I could control volume on the Sony headphones.  However, with a full charge on the ROKU I can listen for 8 plus hours.I do not want bluetooth... just plug and play.  I would recommend them anyway and the price is competitive.",Everglades,True,0,the United States,"August 17, 2025"
R1Z0O6TX8KY5W6,B00IKYI6FO,unknown,"5.0 out of 5 stars
Good product",5.0 out of 5 stars,Good classic Headphones with 3.5 jack,Juan Nicolás Moreno Dimate,True,0,the United States,"August 11, 2025"
R18RZE9QY0UOLH,B00IKYI6FO,unknown,"5.0 out of 5 stars
amazing",5.0 out of 5 stars,"Great sound, Great price, Great quality",Andy,True,1,the United States,"August 3, 2025"
R2TQG2JAY0L4A3,B00IKYI6FO,unknown,"5.0 out of 5 stars
Good quality, good sound, good price.",5.0 out of 5 stars,"Good quality, good sound, good price.",Camilo Cruz,True,0,the United States,"July 18, 2025"
R1TZNHEZ2D898I,B00IKYI6FO,unknown,"3.0 out of 5 stars
Not great for desktops, but seem to be a good alternative to earbuds for your phone.",3.0 out of 5 stars,"I bought this for desktop use, but it turns out that the user manual says they are only compatible for smartphones. They work with a PC, but the cord is only about 4 feet, so not very practical for a desktop. Also, the sound balance was very loud upon plugging it in for the first time; I had to reduce my level from 100% to 10%. Quality is OK, maybe a little tinny or sharp on the high tones. They are small and lightweight but fit my big head comfortably enough.Get these for a cheap portable set to use with your phone, or maybe a laptop. (The manual says they may not work with music players and the microphone may not work with unsupported phones. I didn't test the mic.)",MomoW,True,0,the United States,"July 8, 2025"
R1JVHKOOPHA1ME,B00IKYI6FO,unknown,"4.0 out of 5 stars
Headphones",4.0 out of 5 stars,I bought it for watching IPad on airplane tripsI don’t mind it being wired and it worked well with noise.,james D.,True,0,the United States,"July 8, 2025"
R38EGUJI0BPLEU,B00IKYI6FO,unknown,"5.0 out of 5 stars
Use them daily, a great buy",5.0 out of 5 stars,"I have had three of these over the last 5 years, great sound, durable and priced reasonably.",john davis,True,0,the United States,"June 29, 2025"
R25H9N50VGJN71,B00IKYI6FO,unknown,"5.0 out of 5 stars
Great for the price.",5.0 out of 5 stars,Great for the price.,Comfortable,True,0,the United States,"June 20, 2025"
RUWZEJWWKRUZT,B00IKYI6FO,unknown,"1.0 out of 5 stars
Cheap cheap cheap",1.0 out of 5 stars,Very cheap. I just needed it for a long international flight. The part that connects to the device easily snapped off. Didn’t even last a day,donald havens,True,0,the United States,"June 8, 2025"
R1B4MTI2RMP4ND,B00NG57H4S,unknown,"1.0 out of 5 stars
Cheap",1.0 out of 5 stars,"These are lightweight, easily broke garbage. Also everytime I turned my music on my phone...it would shut off when I plugged in the headphones...played fine without headphones... thinking a short???  I expected more from Sony. Boo",kelig17,True,0,the United States,"August 19, 2025"
R3JZDXGLLPSR0G,B00NG57H4S,unknown,"1.0 out of 5 stars
Cheap garbage",1.0 out of 5 stars,"Cheap garbage.  Spend a bit more and get some quality.  The Sony brand meant something back in the day, but these are as crappy as can be",Paul R. - Massachusetts,True,1,the United States,"July 11, 2025"
R3GJ2AG6LIODM7,B00NG57H4S,unknown,"4.0 out of 5 stars
Headphone without mic",4.0 out of 5 stars,"Why did you pick this product vs others?:You chose the headphones because in the audio field, Sony is the best company in the world, and it's also a very reasonable price for a simple model. Design:I chose the wired connection. I don't have to charge all the time. It takes quite a bit of time to mess with the charging.",Ramy47,True,3,the United States,"June 21, 2025"
R2GYXONCFNK6JM,B00NG57H4S,unknown,"2.0 out of 5 stars
Meh",2.0 out of 5 stars,"Uncomfortable un-padded headband, cheap quality, absolutely no noise cancelling detectable. Audio sounds OK.",Amazon Customer,True,0,the United States,"June 17, 2025"
R132RXP1EBOOPR,B00NG57H4S,unknown,"1.0 out of 5 stars
A DISAPPOINTMENT!",1.0 out of 5 stars,"I bought this set to replace my SONY MBR-XB550s which are worn out and almost unwearable after years of devoted use. I don't know what I was thinking. Sorry to report, the noise cancelation didn't function and the sound quality was way below what I expected. I have cheap JBL's headphone that sound better than this set. I returned this set and bought the MDR-XB450s instead.",C Perez,True,3,the United States,"June 4, 2025"
RLFZ81S6NRAUA,B00NG57H4S,unknown,"3.0 out of 5 stars
Don't actually have noise canceling",3.0 out of 5 stars,Only seems to cancel noise when you turn the volume up,Angela Ellington,True,3,the United States,"May 27, 2025"
R3J6G9MFB8RUNV,B00NG57H4S,unknown,"2.0 out of 5 stars
Doesn't cancel anything",2.0 out of 5 stars,They're nice enough headphones but they don't cancel any noise. With a brand new battery and the noise canceling turned on it's really no different than with it turned off,Michael,True,0,the United States,"May 25, 2025"
RYF40DRBTCHOB,B00NG57H4S,unknown,"5.0 out of 5 stars
Great Product!!!",5.0 out of 5 stars,Great quality and durable!!,Sandra Mitchum,True,4,the United States,"May 1, 2025"
R1BQ9VNVTF00D2,B00NG57H4S,unknown,"2.0 out of 5 stars
Noise cancellation below average.",2.0 out of 5 stars,You will hear the plane engines. They are muffled but you will know they are there. Voices live or recorded are not cancelled as per Sony design and they are heard loud and clear.,Joe,True,0,the United States,"April 6, 2025"
RMDGXY1CDLON0,B00NG57H4S,unknown,"1.0 out of 5 stars
Noise Cancellation barely works",1.0 out of 5 stars,I thought I was buying Sony quality when I purchased these.  I bought these for the noise cancellation to watch movies on commercial flights and it is almost non existent. If you are looking for actual noise cancelling do not buy this.,M. Lanier,True,1,the United States,"March 31, 2025"
R23A6IB2ZAILGU,B0CGMV5TMR,unknown,"5.0 out of 5 stars
Amazing headphones",5.0 out of 5 stars,"These are amazing. Super durable, long lasting battery. They stay in place during hard gym workouts. Super comfortable and great quality.",Matt W.,True,0,the United States,"August 19, 2025"
R2MQUEZX0SEYY9,B0CGMV5TMR,unknown,"5.0 out of 5 stars
Auriculares",5.0 out of 5 stars,Ya tengo mucho más de 5 meses y están en perfectas condiciones,Yanisidelrosario,True,0,the United States,"August 18, 2025"
R1IFH7Y4XGISKE,B0CGMV5TMR,unknown,"5.0 out of 5 stars
Son perfectos",5.0 out of 5 stars,"Los audífonos JBL superaron mis expectativas. La calidad de sonido es excelente, con graves potentes y un equilibrio perfecto en las notas altas y medias. Son muy cómodos de llevar, incluso por varias horas, y se ajustan bien sin causar molestias. La batería dura bastante tiempo, ideal para usarlos durante el trabajo, el gimnasio o los viajes. Además, la conexión Bluetooth es rápida y estable, sin interrupciones. La relación calidad-precio es realmente buena, y se nota la durabilidad de los materiales. Sin duda, una gran elección para quienes buscan buen sonido y comodidad en un solo producto.",Betsy Camejo,True,1,the United States,"August 17, 2025"
R2Z50YVCIVU8SH,B0CGMV5TMR,unknown,"5.0 out of 5 stars
Calidad",5.0 out of 5 stars,Excelente,Rafael antonio Navarro leal,True,0,the United States,"August 17, 2025"
RKO9I6H3PJNGJ,B0CGMV5TMR,unknown,"3.0 out of 5 stars
Could have been better.",3.0 out of 5 stars,For the money I paid I thought I would of received a new item no a pre-owned or opened one. The headphones work but for the price and quality of everything I think I should of paid less for this.,Emma,True,0,the United States,"August 17, 2025"
R3EBX92K6P8NBX,B0CGMV5TMR,unknown,"4.0 out of 5 stars
Love it",4.0 out of 5 stars,Perfect for traveling. Plus easy to connect. Wireless.,Zsa Zsa,True,0,the United States,"August 16, 2025"
R1VETT7FOAOOI1,B0CGMV5TMR,unknown,"5.0 out of 5 stars
Original ya llebo mucho con ellos y suena super biem",5.0 out of 5 stars,Original. Superó mis expectativas super sonido,MISAEL Everardo Hernandez Marin,True,0,the United States,"August 15, 2025"
R11ZZTVMDKILC1,B0CGMV5TMR,unknown,"1.0 out of 5 stars
Fell apart",1.0 out of 5 stars,Less than 2 months later.. headphones fell apart.  Disappointing purchase,Savvi,True,0,the United States,"August 14, 2025"
R1V4E4RLRMPK40,B0CGMV5TMR,unknown,"2.0 out of 5 stars
No",2.0 out of 5 stars,Idk why they just stoped charging and now I can’t retun then,ivette,True,0,the United States,"August 14, 2025"
R2DEWG4IOE144K,B0CGMV5TMR,unknown,"5.0 out of 5 stars
Good volume",5.0 out of 5 stars,My son loved it.,Queen B,True,0,the United States,"August 12, 2025"
R157QJFXL0IZEQ,B0CDZR83T8,unknown,"4.0 out of 5 stars
Sound quality low",4.0 out of 5 stars,Feels good over ears but sound is not as strong compared to the earbuds made by the same company but for the price you really can’t beat it!,Jax58,True,0,the United States,"August 17, 2025"
RENO2DOJXDGSN,B0CDZR83T8,unknown,"5.0 out of 5 stars
Amazon is great!",5.0 out of 5 stars,All good,Toni A Suppa,True,0,the United States,"August 17, 2025"
R14UEX13YPCQBQ,B0CDZR83T8,unknown,"5.0 out of 5 stars
Excelente duracion de la bateria, buen sonido envolvente",5.0 out of 5 stars,Cumple con las expectativas,Lenny Higgins,True,0,the United States,"August 11, 2025"
R2GIYP8PS1O2P9,B0CDZR83T8,unknown,"5.0 out of 5 stars
I love it!!!",5.0 out of 5 stars,Great sound quality and long lasting battery.,Isaac Spry,True,0,the United States,"July 30, 2025"
R36KACPSEI93ZS,B0CDZR83T8,unknown,"3.0 out of 5 stars
Budget",3.0 out of 5 stars,Returned and got the soundcore q40 noise cancelling headphones and they were way better,HonestHuman,True,0,the United States,"July 27, 2025"
R21NAL7QY6700A,B0CDZR83T8,unknown,"5.0 out of 5 stars
Awesome Sound!",5.0 out of 5 stars,I was pleasantly surprised at quality of material and sound!  They are comfortable and easy to bluetooth!  The fold up nicely for travel!,Amazon Customer,True,0,the United States,"July 25, 2025"
R2ACLJEXE0VHL9,B0CDZR83T8,unknown,"4.0 out of 5 stars
Good for the price",4.0 out of 5 stars,Good for the price,I'll take mine on Ice,True,0,the United States,"July 21, 2025"
R24EA66K1LKHQM,B0CDZR83T8,unknown,"5.0 out of 5 stars
Small, Inexpensive, Long Battery Life",5.0 out of 5 stars,"I needed a small pair of headphones for using my MacBook in bed (so as not to disturb the wife) and these fit the bill. Inexpensive, not too large, sync well and remarkably long battery lifetime compared to more expensive ones I own.",Steve DiBartolomeo,True,0,the United States,"July 20, 2025"
